2025-12-12 00:10:56 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 00:10:56 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 00:10:56 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-12 00:10:56 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-12 00:10:56 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-12 00:10:56 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-12 00:10:56 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-12 00:10:56 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-12 00:10:56 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-12 00:10:56 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-12 00:10:56 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-12 00:11:29 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 00:11:29 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 00:11:29 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-12 00:11:29 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-12 00:11:29 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-12 00:11:29 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-12 00:11:29 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-12 00:11:29 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-12 00:11:29 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-12 00:11:29 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-12 00:11:29 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-12 17:42:27 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 17:42:27 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 17:42:27 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-12 17:42:27 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-12 17:42:27 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-12 17:42:27 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-12 17:42:27 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-12 17:42:27 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-12 17:42:27 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-12 17:42:27 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-12 17:42:27 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-12 17:44:26 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 17:44:26 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-12.log
2025-12-12 17:44:26 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-12 17:44:26 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-12 17:44:26 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-12 17:44:26 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-12 17:44:26 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-12 17:44:26 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-12 17:44:26 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-12 17:44:26 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-12 17:44:26 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-12 17:44:31 | INFO     | CoreService | Manualny backup from sources: ['/home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static']
2025-12-12 17:44:31 | INFO     | CoreService | Tworzenie backupu: Backup_2025_12_12-17_44_31.zip
2025-12-12 17:44:31 | DEBUG    | CoreService | Liczenie sha256 dla: /home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/js/createBackup.js
2025-12-12 17:44:31 | DEBUG    | CoreService | sha256(/home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/js/createBackup.js) = 02e476cf4cfc60f3a49bacdec1f414dabad76282dcedbf6b0d759613a7f47312
2025-12-12 17:44:31 | DEBUG    | CoreService | Liczenie sha256 dla: /home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/dashboard.css
2025-12-12 17:44:31 | DEBUG    | CoreService | sha256(/home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/dashboard.css) = aeda4a19a46ac1cbabe9a184c52efd03d2a84ec64598b23a7bea380c785f35f6
2025-12-12 17:44:31 | DEBUG    | CoreService | Liczenie sha256 dla: /home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/register.css
2025-12-12 17:44:31 | DEBUG    | CoreService | sha256(/home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/register.css) = f3ebab486a3d1152e1363c65a6dc26acd55de71ab316708d646f21968f538243
2025-12-12 17:44:31 | DEBUG    | CoreService | Liczenie sha256 dla: /home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/createBackup.css
2025-12-12 17:44:31 | DEBUG    | CoreService | sha256(/home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/createBackup.css) = 674d1d3d7fc0dc43b7e1126739bb6aab824fa430ba4fbbf5aa0aaff7f52d9937
2025-12-12 17:44:31 | DEBUG    | CoreService | Liczenie sha256 dla: /home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/backupHistory.css
2025-12-12 17:44:31 | DEBUG    | CoreService | sha256(/home/mateusz/Desktop/inzyniera/projekt_inzynierski_backup_menager/backup_app/static/css/backupHistory.css) = 76f6028fefceecdaf3fa89c696edbe5a03bb5f6315befd44b5bcfc8a795f671f
