2025-12-15 15:49:41 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 15:49:41 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 15:49:41 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-15 15:49:41 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-15 15:49:41 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-15 15:49:41 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-15 15:49:41 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-15 15:49:41 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-15 15:49:41 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-15 15:49:41 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-15 15:49:41 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-15 15:50:04 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 15:50:04 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 15:50:04 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-15 15:50:04 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-15 15:50:04 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-15 15:50:04 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-15 15:50:04 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-15 15:50:04 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-15 15:50:04 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-15 15:50:04 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-15 15:50:04 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-15 16:43:44 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 16:43:44 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 16:43:44 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-15 16:43:44 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-15 16:43:44 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-15 16:43:44 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-15 16:43:44 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-15 16:43:44 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-15 16:43:44 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-15 16:43:44 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-15 16:43:44 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-15 17:18:31 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 17:18:31 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 17:18:31 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-15 17:18:31 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-15 17:18:31 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-15 17:18:31 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-15 17:18:31 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: C:\Users\Admin\Desktop\STUDIA\Inzynierka\Skrypty\Backend2\projekt_inzynierski_backup_menager\backup_app\backups
2025-12-15 17:18:31 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-15 17:18:31 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: C:\Users\Admin\Desktop\STUDIA\Inzynierka\Skrypty\Backend2\projekt_inzynierski_backup_menager\backup_app\restored_files
2025-12-15 17:18:31 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-15 17:18:31 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-15 17:34:41 | INFO     | DriveTest | Logger 'DriveTest' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 17:34:41 | INFO     | DriveTest | Proces OAuth rozpoczęty - otworzy się przeglądarka do logowania
2025-12-15 17:34:51 | INFO     | DriveTest | Proces OAuth zakończony pomyślnie
2025-12-15 17:34:51 | INFO     | DriveTest | Zapisano nowy token OAuth do pliku: C:\Users\Admin\Desktop\STUDIA\Inzynierka\Skrypty\Backend2\projekt_inzynierski_backup_menager\backup_app\core\credentials\token.json
2025-12-15 17:34:51 | INFO     | DriveTest | Zainicjowano połączenie z Google Drive API (OAuth)
2025-12-15 17:34:53 | INFO     | DriveTest | Utworzono nowy folder na Drive: BackupManager (id=1cq6vh40GPi2qdsxQcztb5wIAI1H81iLz)
2025-12-15 17:34:54 | INFO     | DriveTest | Wysłano plik na Google Drive: name=drive_test_file.txt, id=1NISYuINBNp9z0QVeK0x168WNMT2rX81g
2025-12-15 17:34:54 | INFO     | DriveTest | Link do pliku: https://drive.google.com/file/d/1NISYuINBNp9z0QVeK0x168WNMT2rX81g/view?usp=drivesdk
2025-12-15 17:34:54 | INFO     | DriveTest | Testowy plik wysłany. Link/id: https://drive.google.com/file/d/1NISYuINBNp9z0QVeK0x168WNMT2rX81g/view?usp=drivesdk
2025-12-15 17:39:53 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 17:39:53 | INFO     | BackupManager | Logger 'BackupManager' został zainicjalizowany - zapisywanie do pliku: logs\backup_log_2025-12-15.log
2025-12-15 17:39:53 | INFO     | BackupManager | Połączono z bazą danych: backup_data.db
2025-12-15 17:39:53 | DEBUG    | BackupManager | Tabela 'backups' została utworzona lub już istnieje.
2025-12-15 17:39:53 | DEBUG    | BackupManager | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-15 17:39:53 | INFO     | BackupManager | MailNotifier zainicjalizowany
2025-12-15 17:39:53 | INFO     | BackupManager | BackupManager zainicjowany. Folder backupów: C:\Users\Admin\Desktop\STUDIA\Inzynierka\Skrypty\Backend2\projekt_inzynierski_backup_menager\backup_app\backups
2025-12-15 17:39:53 | DEBUG    | BackupManager | Ładowanie istniejącego tokena z: C:\Users\Admin\Desktop\STUDIA\Inzynierka\Skrypty\Backend2\projekt_inzynierski_backup_menager\backup_app\core\credentials\token.json
